questions,types
what is the maximum age of stomach cancer patients,1
get me the average number of stomach cancer deaths,5
how many times is the fuel propulsion is cng?,3
how many times is the model ge40lfr?,3
how many times is the fleet series (quantity) is 468-473 (6)?,3
How many number does Fordham school have?,3
What number is the player that played 1998-2001,0
How many players were with the school or club team La Salle?,3
How many wins were there when the money list rank was 183?,3
What time was the highest for 2nd finishers?,1
When did the Metrostars have their first Rookie of the Year winner?,0
How many teams had a #1 draft pick that won the Rookie of the Year Award?,3
what's the total number of singles w-l with doubles w-l of 0–0 and total w-l of 3–1,3
What is year of construction of spitallamm?,0
"What is the number of chapters listed for the fraternity with a headquarters in Austin, Texas?",3
what is the number of relapsing fever when malaria is 3000,3
what is the number of smallpox when typhoid fever is 293,3
what is the maximum age of stomach cancer patients,1
Get me the average number of stomach cancer deaths,5
"How many schools are in Bloomington, IN?",3
How many of the schools are designated private/Presbyterian?,3
In what year was Lindenwood University founded?,0
"How many of the schools listed are in Ames, IA?",3
How many countries (endonym) has the capital (endonym) of Jakarta?,3
"The season premiere aired on September 11, 2000 aired on how many networks? ",3
get me the average number of stomach cancer deaths,5
what is the minimum population canada 2011 census with seat of rcm being cowansville,2
How many County Kerry have 53% Irish speakers?,3
What is the the Chinese population for the state that has a Filipino population of 1474707?,0
How many States have an Indian population of 30947?,3
What is the highest Indian population?,1
How many Australians were in the UN commission on Korea?,3
What is the number of season premieres were 10.17 people watched?,3
How many wins happened in 1983?,3
How many top tens had an average start of 29.4?,3
How many poles had an average finish of 19.1?,3
How many starts did Hendrick motorsports have?,3
what is the maximum age of stomach cancer patients,1
What was the lowest number of votes Scotland cast?,2
What is the total number of votes if Scotland cast 35?,3
How many votes did Wales cast when Northern England cast 6?,3
"What is the smallest pick for the player, brett lindros?",2
What is the number for t c (k) when the notation is tl-2212?,0
How many 2010 estimations have been done in the city of Cremona?,3
What's the 2001 census of the region of Abruzzo where the 1871 census is bigger than 51092.0?,0
What's the 1991 census of the city of Carpi?,0
what is the maximum age of stomach cancer patients,1
How many 2001 censuses are there on number 13?,3
How many nationalities are the pick 193?,3
How many songs received a 10 from Goodman and were rated by Tonioli?,3
"How many scores did Goodman give to ""samba / young hearts run free"", which was in second place?",3
what's the total number of position with driver  robby gordon,4
"what's the maximum position with winnings  $50,000",1
What was the number of nominations for natalia raskokoha?,3
What is the highest value of Total Goals?,1
When FA Cup Apps is 9 what is the smallest number of FA Cup Goals?,2
What is the smallest number of Total Goals?,2
"what is the minimum production code with title ""foreign exchange problem / turn about""",2
Whatis the number of total goals maximum?,1
HOW MANY TEMPERATURE INTERVALS ARE POSSIBLE TO USE WITH ACRYL? ,3
How many matches where played with Jim Pugh?,3
"How many matched scored 3–6, 7–6(5), 6–3?",3
How many birthdays does Earl Hanley Beshlin have?,3
How many playerd Mrs. Darling in the 1999 Broadway?,3
How many years did BBC One rank 20th?,3
"What year was the BBC two total viewing 7,530,000?",0
 how many ↓ function / genus → with escherichia being espd,3
How many original titles did Marriage Italian-Style have? ,3
Which overall pick number went to college at Youngstown State?,0
The record of 7-3 had the largest attendance of what?,0
What round was Steve Stonebreaker drafted?,0
Who was the top picki n the draft?,0
What is the greatest round of overall 83?,1
Where does the defensive back position appear first?,0
What is Bruce Cerone overall?,4
What is the highest choice?,1
How many primers annulus colors were there when the color of the bullet tip was white?,3
How many bullet tips colors had other features of a blue band on case base?,3
How many touchdowns were scored in the year with a completion percentage of 56.0?,3
How many years were there with 348 attempts?,3
How many characters is by Babs Rubenstein?,3
How many people play Frank in London?,3
What was the total number of Class AAA during the same year that Class AAA was White Oak?,3
"How many records are listed on Friday, May 25?",3
"How many opponents were played on Saturday, June 9?",3
In what week was the first game played at the Commerzbank-Arena?,2
How many settings where there for episode 29 of the season?,3
What is the total number of lyricist where the lyrics theme is romance and the song lasts 3:50?,3
What is the total number of music genre/style in which the lyrics are a detective story?,3
What is the number of the division for the 1st round?,3
What is the total number of poles for arden international?,3
What is the number of wins for gp2 series for racing engineering?,3
What is the number of podiums for season 2010 for campionato italiano superstars.,3
"How many writers had an US air date of september 25, 1993?",3
How many villians were in No. 25?,3
"what being the maximum year where regular season is 4th, northwest",1
"what is the total number of playoffs where regular season is 6th, southwest",3
what is the maximum division,1
How many titles have the number 11,3
How many have Mrs. briar as a villain,3
how many have the number 8,3
"How many have the title ""the tale of the room for rent""",3
"How many villains appeared in the episode titled ""The Tale of the Virtual Pets""?",3
What is the largest # for an episode that was written by Allison Lea Bingeman?,1
